image_id,class,path,split
753fc74b-858f-421e-901b-d740d630152f.jpg,normal,images\normal\753fc74b-858f-421e-901b-d740d630152f.jpg,train
bc763a1d-8c8f-4725-926b-a6475069d452.jpg,ulcer,images\ulcer\bc763a1d-8c8f-4725-926b-a6475069d452.jpg,train
4eb3ee92-aa4f-4d12-b991-f24a799554fb.jpg,normal,images\normal\4eb3ee92-aa4f-4d12-b991-f24a799554fb.jpg,train
8344a6ae-5fcc-4a1e-92a1-566bcc077b12.jpg,inflammation,images\inflammation\8344a6ae-5fcc-4a1e-92a1-566bcc077b12.jpg,train
9cf5f224-9f39-4d9e-a4d9-27f7d619c049.jpg,normal,images\normal\9cf5f224-9f39-4d9e-a4d9-27f7d619c049.jpg,train
f7a7a865-a809-46c1-8106-5eaead6958fe.jpg,normal,images\normal\f7a7a865-a809-46c1-8106-5eaead6958fe.jpg,train
03af8452-33aa-4dba-8b67-7928c763841e.jpg,normal,images\normal\03af8452-33aa-4dba-8b67-7928c763841e.jpg,train
645913ab-df22-45a5-8c4a-e00513b2cd9e.jpg,normal,images\normal\645913ab-df22-45a5-8c4a-e00513b2cd9e.jpg,train
08ee0585-0ca9-4409-b6dc-82ea990c570a.jpg,normal,images\normal\08ee0585-0ca9-4409-b6dc-82ea990c570a.jpg,train
9136cf81-3a1c-4606-bf16-7fa4a7437455.jpg,normal,images\normal\9136cf81-3a1c-4606-bf16-7fa4a7437455.jpg,train
3660982e-45ae-4316-8d1c-0a393e0938ac.jpg,normal,images\normal\3660982e-45ae-4316-8d1c-0a393e0938ac.jpg,train
0cf5fa62-e934-4944-a24a-d3ad29b4b1f1.jpg,normal,images\normal\0cf5fa62-e934-4944-a24a-d3ad29b4b1f1.jpg,train
1c21952c-7bfc-4d0c-8836-8841705d258c.jpg,normal,images\normal\1c21952c-7bfc-4d0c-8836-8841705d258c.jpg,train
ebfbdaa1-e3b1-44e8-b646-8d991e799c96.jpg,polyp,images\polyp\ebfbdaa1-e3b1-44e8-b646-8d991e799c96.jpg,train
bdb8fbfd-d0cc-4f07-b0af-5f64d668bfcd.jpg,normal,images\normal\bdb8fbfd-d0cc-4f07-b0af-5f64d668bfcd.jpg,train
d4e631e0-db81-4219-a5e3-1c88b13d8cde.jpg,polyp,images\polyp\d4e631e0-db81-4219-a5e3-1c88b13d8cde.jpg,train
c8edfd99-e2e3-48ac-a4ec-978a862a1f9f.jpg,ulcer,images\ulcer\c8edfd99-e2e3-48ac-a4ec-978a862a1f9f.jpg,train
63948f29-5124-42f7-a145-e258f2037acb.jpg,ulcer,images\ulcer\63948f29-5124-42f7-a145-e258f2037acb.jpg,train
5e8c5a1d-ead9-4a4e-9eef-8e11e75b0335.jpg,normal,images\normal\5e8c5a1d-ead9-4a4e-9eef-8e11e75b0335.jpg,train
21398e05-efaa-4011-9edc-f65cde2b2d4c.jpg,ulcer,images\ulcer\21398e05-efaa-4011-9edc-f65cde2b2d4c.jpg,train
56f010a4-4589-4b5a-ae4f-c2a8a0e6f163.jpg,normal,images\normal\56f010a4-4589-4b5a-ae4f-c2a8a0e6f163.jpg,train
7029da58-2e03-4b6c-9b04-ce383220042b.jpg,normal,images\normal\7029da58-2e03-4b6c-9b04-ce383220042b.jpg,train
20cfaf58-607a-43d9-8358-b595f7a93d43.jpg,inflammation,images\inflammation\20cfaf58-607a-43d9-8358-b595f7a93d43.jpg,train
307508a7-9e0b-4dd5-9d73-18af8ee59e67.jpg,ulcer,images\ulcer\307508a7-9e0b-4dd5-9d73-18af8ee59e67.jpg,train
58a8a418-dfd9-43b0-9ae3-8af73da05698.jpg,inflammation,images\inflammation\58a8a418-dfd9-43b0-9ae3-8af73da05698.jpg,train
93f8dcbb-a5e0-4b6e-9a29-7fad19d04e23.jpg,polyp,images\polyp\93f8dcbb-a5e0-4b6e-9a29-7fad19d04e23.jpg,train
ff4080a5-a18c-4960-9a45-850c70137135.jpg,normal,images\normal\ff4080a5-a18c-4960-9a45-850c70137135.jpg,train
e8dd9aa6-3b2b-4c45-ad9f-0054d568fb1c.jpg,polyp,images\polyp\e8dd9aa6-3b2b-4c45-ad9f-0054d568fb1c.jpg,train
f74966d0-0718-422e-aa08-38326e021c2c.jpg,polyp,images\polyp\f74966d0-0718-422e-aa08-38326e021c2c.jpg,train
6a5ff049-c453-4b1a-9977-07b00deac4c6.jpg,normal,images\normal\6a5ff049-c453-4b1a-9977-07b00deac4c6.jpg,train
e5a9439c-3091-42df-b5b7-4728e8b64273.jpg,inflammation,images\inflammation\e5a9439c-3091-42df-b5b7-4728e8b64273.jpg,train
8046d7d5-996a-4817-9003-5a51ce2be2e6.jpg,normal,images\normal\8046d7d5-996a-4817-9003-5a51ce2be2e6.jpg,train
f31d1e2c-cb2e-4b5f-9365-32729990f57a.jpg,normal,images\normal\f31d1e2c-cb2e-4b5f-9365-32729990f57a.jpg,train
05134628-0ac0-40e9-aa76-7263678ea0f5.jpg,polyp,images\polyp\05134628-0ac0-40e9-aa76-7263678ea0f5.jpg,train
ba8a3c15-0c6c-4681-b0cb-589f906b3bf5.jpg,ulcer,images\ulcer\ba8a3c15-0c6c-4681-b0cb-589f906b3bf5.jpg,train
06f66bf0-34d5-4526-a3cd-572a3ce1c8f8.jpg,normal,images\normal\06f66bf0-34d5-4526-a3cd-572a3ce1c8f8.jpg,train
bef6f0d6-8108-4702-ad45-7007986d4ea8.jpg,polyp,images\polyp\bef6f0d6-8108-4702-ad45-7007986d4ea8.jpg,train
